ID,WE,Ld,SS,TD
1,Dry,1,-1,1.5
2,Dry,-1,1,1.6
3,Dry,1,-1,1.3
4,Dry,-1,1,1.4
5,Pure Water, 1,-1,0.25
6,Pure Water, -1,1,0.28
7,Pure Water, 1,-1,0.34
8,Pure Water,-1,1,0.39
9,EG,1,-1,0.43
10,EG,-1,1,0.38
11,EG,1,-1,0.35
12,EG,-1,1,0.4
13,EG +4% AgNP,1,-1,0.45
14,EG +4% AgNP, -1,1,0.4
15,EG +4% AgNP,1,-1,0.42
16,EG +4% AgNP,-1,1,0.56
17,EG +8% AgNP,1,-1,0.77
18,EG +8% AgNP,-1,1,0.47
19,EG +8% AgNP,1,-1,0.66
20,EG +8% AgNP,-1,1,0.75
21,EG+12%AgNP,1,-1,0.82
22,EG+12%AgNP,-1,1,0.87
23,EG+12%AgNP,1,-1,0.70
24,EG+12%AgNP,-1,1,0.80
